Name,Length,Steepness,Vertical,Year,Race
Sestriere,31.8,4,2058,2020,giro-d-italia
Passo dello Stelvio/Stilfserjoch,24.8,7.4,2746,2020,giro-d-italia
Valico di Montescuro,22.7,5.8,1612,2020,giro-d-italia
Forcella Valbona,21.4,6.7,1772,2020,giro-d-italia
Monte Bondone,20.5,6.6,1566,2020,giro-d-italia
Etna,18.6,6.7,1797,2020,giro-d-italia
Passo San Leonardo,14.4,4.3,1292,2020,giro-d-italia
Piancavallo,14.3,7.9,1288,2020,giro-d-italia
Campo Carlo Magno,14.2,5.8,1679,2020,giro-d-italia
Portella Mandrazzi,12.4,5.2,1124,2020,giro-d-italia
Passo Lanciano,12.4,7,1310,2020,giro-d-italia
Madonna di Campiglio,11.9,5.9,1514,2020,giro-d-italia
Passo Durone,10.6,5.8,1012,2020,giro-d-italia
Madonnina del Domm,10.1,7.4,960,2020,giro-d-italia
Tiriolo,10.1,5.3,620,2020,giro-d-italia
Roccaraso,9.6,4.4,1655,2020,giro-d-italia
Sella Chianzutan,9.6,5.6,955,2020,giro-d-italia
Bosco di Sant'Antonio,9.4,5.1,1324,2020,giro-d-italia
Monte Sant'Angelo,9.4,6.2,744,2020,giro-d-italia
Forcella di Pala Barzana,9.2,5,836,2020,giro-d-italia
Madonna di Pugliano,9.1,5.9,790,2020,giro-d-italia
Torri di Fraele,9,6.8,1968,2020,giro-d-italia
Hofmahdjoch/Passo Castrin,8.6,8.9,1674,2020,giro-d-italia
Perticara,7.6,5.1,666,2020,giro-d-italia
Forcella di Monte Rest,7.4,7.7,1081,2020,giro-d-italia
Sestriere,6.9,7.2,2041,2020,giro-d-italia
Sestriere,6.9,7.2,2041,2020,giro-d-italia
Ciola,6.3,6.1,557,2020,giro-d-italia
Galleria Millotta,4.7,6.9,393,2020,giro-d-italia
Monte Spig,4.7,8.2,597,2020,giro-d-italia
San Giovanni in Galilea,4.7,5.6,348,2020,giro-d-italia
Barbotto,4.5,8.1,505,2020,giro-d-italia
Santa Ninfa,4.3,4.1,432,2020,giro-d-italia
Roccolo,4.3,7.8,351,2020,giro-d-italia
Agrigento,3.7,5.2,248,2020,giro-d-italia
Catanzaro,3.5,5.4,339,2020,giro-d-italia
Monteaperta,3.3,7.6,638,2020,giro-d-italia
Monte San Bartolo,3.1,5.1,169,2020,giro-d-italia
Monte di Ragogna,3,9,478,2020,giro-d-italia
Monte di Ragogna,3,9,478,2020,giro-d-italia
Monte di Ragogna,3,9,478,2020,giro-d-italia
Colonnella,3,8.6,267,2020,giro-d-italia
Tortoreto,2.3,8.3,222,2020,giro-d-italia
Calaone,2,9.9,214,2020,giro-d-italia
Tortoreto,1.9,7.4,222,2020,giro-d-italia
La Guardiola,1.4,6.2,165,2020,giro-d-italia
Chieti,1.4,9.6,310,2020,giro-d-italia
Muro di Ca' del Poggio,1.1,12.1,238,2020,giro-d-italia
Monreale-Cattedrale,0.9,4.4,294,2020,giro-d-italia
Passo San Bernardino,23.7,6.2,2066,2021,giro-d-italia
Bocca della Selva,19,4.6,1388,2021,giro-d-italia
Passo della Consuma,17.1,5.7,1052,2021,giro-d-italia
San Giacomo,15.5,6,1093,2021,giro-d-italia
Passo della Calla,15.3,5.4,1295,2021,giro-d-italia
Passo di San Valentino,14.8,7.6,1320,2021,giro-d-italia
Monte Zoncolan,14.1,8.5,1729,2021,giro-d-italia
Passo Godi,13.9,4.1,1548,2021,giro-d-italia
Passo del Lume Spento,13,3.6,597,2021,giro-d-italia
Gignese (Alpe Agogna),12.8,2.9,688,2021,giro-d-italia
Forca Caruso,12.7,4.5,1104,2021,giro-d-italia
Ovindoli,12.4,5,1461,2021,giro-d-italia
La Crosetta,11.6,7.1,1116,2021,giro-d-italia
Sega di Ala,11.5,9.6,1251,2021,giro-d-italia
Passo del Carnaio,10.8,5,802,2021,giro-d-italia
Forca di Gualdo,10.5,7.3,1490,2021,giro-d-italia
Forcella Monte Rest,10.5,6.1,1080,2021,giro-d-italia
Passo Giau,9.8,9.3,2225,2021,giro-d-italia
Alpe di Mera,9.6,9,1532,2021,giro-d-italia
Passo del Lume Spento,9.2,4.5,597,2021,giro-d-italia
Splügenpass/Passo dello Spluga,8.9,7.3,2112,2021,giro-d-italia
Montemolino,8.5,5.8,930,2021,giro-d-italia
Monte Morello,7.7,6.3,601,2021,giro-d-italia
Passo della Colma,7.7,5.9,929,2021,giro-d-italia
Piancanelli,7.6,4.8,527,2021,giro-d-italia
Alpe Motta,7.3,7.7,1723,2021,giro-d-italia
Valico della Somma,6.8,5,659,2021,giro-d-italia
Campo Felice,5.9,5.7,1655,2021,giro-d-italia
Manera,5.4,5.3,625,2021,giro-d-italia
Castana,5.3,3.9,328,2021,giro-d-italia
