Number,Date,Distance,Average Speed,Vertical,Profile score,Stage type,Year,Race
1,13 May 1909,397,28.15,,,0,1909,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
3,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
4,16 May 1909,378.5,,,,0,1909,giro-d-italia
5,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
6,18 May 1909,242.8,25.56,,,0,1909,giro-d-italia
7,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
8,20 May 1909,228.1,26.72,,,0,1909,giro-d-italia
9,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
11,23 May 1909,346.5,27,,,0,1909,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
13,25 May 1909,294.4,26.85,,,0,1909,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
15,27 May 1909,357,25.87,,,0,1909,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
17,-1,-1,-1,-1,-1,-1,1909,giro-d-italia
18,30 May 1909,206,29.76,,,0,1909,giro-d-italia
1,18 May 1910,388,,,,1,1910,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
3,20 May 1910,322,,,,1,1910,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
5,22 May 1910,345,,,,1,1910,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
7,24 May 1910,319,,,,4,1910,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
9,26 May 1910,192,,,,1,1910,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
11,28 May 1910,327,,,,2,1910,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
13,30 May 1910,263,,,,2,1910,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
15,01 June 1910,218,,,,1,1910,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
17,03 June 1910,333,,,,4,1910,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1910,giro-d-italia
19,05 June 1910,0,26.11,,,2,1910,giro-d-italia
1,15 May 1911,394,,,,0,1911,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
3,17 May 1911,261,,,,0,1911,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
5,19 May 1911,274,,,,0,1911,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
7,21 May 1911,190,,,,0,1911,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
9,23 May 1911,302,,,,0,1911,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
11,25 May 1911,236,,,,0,1911,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
13,27 May 1911,394,,,,0,1911,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
15,29 May 1911,283,,,,0,1911,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
17,31 May 1911,218,,,,0,1911,giro-d-italia
18,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
19,02 June 1911,363,,,,0,1911,giro-d-italia
20,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
21,04 June 1911,345,,,,0,1911,giro-d-italia
22,-1,-1,-1,-1,-1,-1,1911,giro-d-italia
23,06 June 1911,0,26.22,,,0,1911,giro-d-italia
1,19 May 1912,399,,,,0,1912,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
3,21 May 1912,329,,,,0,1912,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
5,23 May 1912,362,,,,0,1912,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
7,25 May 1912,294,,,,0,1912,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
9,27 May 1912,337,,,,0,1912,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
11,29 May 1912,268,,,,0,1912,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
13,31 May 1912,225,,,,0,1912,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
15,02 June 1912,281,,,,0,1912,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1912,giro-d-italia
17,04 June 1912,0,27.323,,,0,1912,giro-d-italia
1,06 May 1913,341,,,,0,1913,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
3,08 May 1913,332,,,,0,1913,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
5,10 May 1913,317,,,,0,1913,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
7,12 May 1913,341,,,,0,1913,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
9,14 May 1913,295,,,,0,1913,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
11,16 May 1913,256,,,,0,1913,giro-d-italia
12,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
13,18 May 1913,313,,,,0,1913,giro-d-italia
14,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
15,20 May 1913,413,,,,0,1913,giro-d-italia
16,-1,-1,-1,-1,-1,-1,1913,giro-d-italia
17,22 May 1913,0,26.38,,,0,1913,giro-d-italia
1,24 May 1914,420,,,,0,1914,giro-d-italia
2,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
3,26 May 1914,340,,,,0,1914,giro-d-italia
4,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
5,28 May 1914,430,,,,0,1914,giro-d-italia
6,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
7,30 May 1914,365,,,,0,1914,giro-d-italia
8,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
9,01 June 1914,328,,,,0,1914,giro-d-italia
10,-1,-1,-1,-1,-1,-1,1914,giro-d-italia
